City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Olafsvik,IS,64.8945,-23.7142,30.52,65,93,11.59,overcast clouds
80,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,99,6.91,overcast clouds
81,Clyde River,CA,70.4692,-68.5914,-13.0,77,75,14.97,broken clouds
82,Fenoarivo,MG,-18.933,47.4354,64.4,94,40,6.91,scattered clouds
83,Dingle,PH,10.9995,122.6711,80.78,79,100,11.99,overcast clouds
84,Constitucion,CL,-35.3333,-72.4167,54.7,83,7,15.05,clear sky
85,Daru,PG,-9.0763,143.2092,81.91,81,100,2.17,overcast clouds
86,Qaanaaq,GL,77.484,-69.3632,-20.33,55,19,7.72,few clouds
87,Mataura,NZ,-46.1927,168.8643,60.01,79,8,1.99,clear sky
88,Rocha,UY,-34.4833,-54.3333,62.65,90,10,6.46,clear sky
89,Arraial Do Cabo,BR,-22.9661,-42.0278,77.0,88,0,4.61,clear sky
90,Churapcha,RU,62.0025,132.4325,-9.56,97,100,3.53,overcast clouds
91,Yulara,AU,-25.2406,130.9889,71.6,64,2,12.66,clear sky
92,Hibbing,US,47.4272,-92.9377,33.8,86,90,12.66,overcast clouds
93,Pachino,IT,36.7186,15.0907,41.0,81,5,4.61,clear sky
94,Kargasok,RU,59.0556,80.8572,26.31,92,96,9.17,overcast clouds
95,Ossora,RU,59.2353,163.0719,19.09,92,100,3.91,snow
96,Kokopo,PG,-4.352,152.2633,83.84,65,90,2.35,overcast clouds
97,Stovring,DK,56.8854,9.8384,42.8,93,75,12.66,broken clouds
98,Tateyama,JP,34.9833,139.8667,62.01,63,75,5.75,broken clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,71.01,94,20,4.61,mist
100,Padang,ID,-0.9492,100.3543,75.2,100,40,3.47,scattered clouds
101,Vung Tau,VN,10.346,107.0843,79.79,79,88,16.24,overcast clouds
102,Paramonga,PE,-10.6667,-77.8333,71.51,80,59,9.69,broken clouds
103,Jalu,LY,29.0331,21.5482,51.48,56,2,8.66,clear sky
104,Cidreira,BR,-30.1811,-50.2056,73.36,76,53,8.9,broken clouds
