City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
651,Niquero,CU,78.55,few clouds,20.0431,-77.5828,Islazul Niquero
652,Gunjur,GM,77.0,clear sky,13.2019,-16.7339,Kuba Lodge
656,Neiafu,TO,86.0,moderate rain,-18.65,-173.9833,Mystic Sands
658,Ranong,TH,75.2,few clouds,9.9658,98.6348,Tinidee Hotel@Ranong
661,Isla Mujeres,MX,82.4,scattered clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
662,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
668,Unguia,CO,77.43,scattered clouds,8.0434,-77.0945,Residencias El Golfo
670,Hervey Bay,AU,80.6,clear sky,-25.2986,152.8535,Shelly Bay Resort
674,Makakilo City,US,80.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
678,Jiquilisco,SV,89.6,clear sky,13.3167,-88.5833,El Jiquilite Centro De Reuniones
679,Mandiana,GN,85.15,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
687,Santa Cruz,BO,77.0,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
689,Wajid,SO,76.41,clear sky,3.8093,43.2471,xamdihotelresturant114
691,Pandan,PH,82.29,broken clouds,14.0453,124.1694,Bonifacio Lodge
692,Quelimane,MZ,75.2,light rain,-17.8786,36.8883,Hotel Flamingo
693,Grand Gaube,MU,77.0,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
