City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Westport,US,2021-03-15 02:58:07,41.1415,-73.3579,32.0,32,1,16.11
67,Dikson,RU,2021-03-15 03:03:06,73.5069,80.5464,-23.96,98,100,12.37
68,Rio Tercero,AR,2021-03-15 03:03:07,-32.173,-64.1141,69.01,94,94,1.99
69,Hermanus,ZA,2021-03-15 03:03:07,-34.4187,19.2345,62.01,96,89,1.01
70,Pontianak,ID,2021-03-15 02:59:30,-0.0333,109.3333,77.0,94,75,6.91
71,Pisco,PE,2021-03-15 03:03:09,-13.7,-76.2167,77.0,65,0,5.75
72,Tadine,NC,2021-03-15 03:03:09,-21.55,167.8833,80.31,72,15,13.2
73,Mahebourg,MU,2021-03-15 03:03:10,-20.4081,57.7,77.0,94,75,12.8
74,Letka,RU,2021-03-15 03:03:10,59.6011,49.4232,20.73,95,98,7.16
75,Provideniya,RU,2021-03-15 03:03:10,64.3833,-173.3,26.6,93,100,8.84
76,Qaqortoq,GL,2021-03-15 03:03:11,60.7167,-46.0333,37.4,44,90,43.73
77,Bluff,NZ,2021-03-15 03:03:11,-46.6,168.3333,59.0,80,77,15.01
78,Narsaq,GL,2021-03-15 03:03:11,60.9167,-46.05,37.4,44,90,43.73
79,Ilulissat,GL,2021-03-15 03:03:12,69.2167,-51.1,12.2,52,100,8.05
80,Changde,CN,2021-03-15 03:03:12,29.0464,111.6783,66.0,24,100,14.0
81,Alamosa,US,2021-03-15 03:03:13,37.4695,-105.87,28.4,93,90,8.05
82,Barrow,US,2021-03-15 03:00:50,71.2906,-156.7887,-5.8,77,1,11.5
83,Kolaras,IN,2021-03-15 03:03:14,25.2333,77.6,77.94,26,50,4.0
84,Constitucion,CL,2021-03-15 03:03:14,-35.3333,-72.4167,56.46,88,91,2.57
85,Deputatskiy,RU,2021-03-15 03:03:15,69.3,139.9,-3.87,81,89,2.57
86,Hambantota,LK,2021-03-15 03:03:15,6.1241,81.1185,77.0,94,20,5.75
87,Butaritari,KI,2021-03-15 03:03:16,3.0707,172.7902,81.55,79,11,14.43
88,Aitape,PG,2021-03-15 03:03:17,-3.1374,142.3475,83.55,79,100,5.37
89,Tasiilaq,GL,2021-03-15 03:03:18,65.6145,-37.6368,24.8,54,90,26.46
90,Lianyuan,CN,2021-03-15 03:03:19,27.6883,111.6642,75.58,68,10,6.8
91,Pyapon,MM,2021-03-15 03:03:19,16.2833,95.6833,89.91,32,47,4.25
92,Khatanga,RU,2021-03-15 03:03:19,71.9667,102.5,-19.86,93,100,11.34
93,Yulara,AU,2021-03-15 03:03:20,-25.2406,130.9889,73.4,23,0,17.27
94,Tungor,RU,2021-03-15 03:03:21,53.3808,142.9564,38.01,89,0,11.27
95,Mandera,KE,2021-03-15 02:58:41,3.9366,41.867,76.33,77,34,8.9
96,Kuandian,CN,2021-03-15 03:03:22,40.7286,124.7847,42.84,84,100,14.09
97,Garhi Khairo,PK,2021-03-15 03:03:22,28.0606,67.9803,77.25,24,35,10.22
98,Nouadhibou,MR,2021-03-15 03:03:23,20.931,-17.0347,64.69,73,0,20.89
99,Santa Rosa,PH,2021-03-15 03:03:23,14.3122,121.1114,84.99,74,90,3.44
100,Bengkulu,ID,2021-03-15 03:03:24,-3.8004,102.2655,85.8,63,7,1.88
101,Kaka,TM,2021-03-15 03:03:24,37.3482,59.6143,31.84,74,19,4.32
102,Port-Cartier,CA,2021-03-15 03:03:25,50.0334,-66.8654,9.0,43,90,14.97
103,Kosh-Agach,RU,2021-03-15 03:03:26,50.0,88.6667,12.02,52,100,0.96
104,Denpasar,ID,2021-03-15 03:03:26,-8.65,115.2167,84.2,79,40,1.14
105,Saint-Louis,SN,2021-03-15 03:03:27,16.3333,-15.0,73.22,14,0,7.58
106,Inhambane,MZ,2021-03-15 03:03:28,-23.865,35.3833,73.42,93,1,4.81
107,Hofn,IS,2021-03-15 03:03:12,64.2539,-15.2082,35.22,77,100,7.27
108,Ballina,AU,2021-03-15 03:03:29,-28.8667,153.5667,68.0,94,90,12.66
109,Dali,CN,2021-03-15 03:03:29,25.7,100.1833,65.57,37,0,4.03
110,Ponta Do Sol,PT,2021-03-15 03:03:29,32.6667,-17.1,55.0,69,99,3.0
111,Conde,BR,2021-03-15 03:03:30,-7.2597,-34.9075,77.0,88,20,5.75
112,Sur,OM,2021-03-15 03:03:30,22.5667,59.5289,76.84,42,0,5.48
113,Thinadhoo,MV,2021-03-15 03:03:31,0.5333,72.9333,82.9,71,100,5.08
114,Vardo,NO,2021-03-15 03:03:31,70.3705,31.1107,29.12,92,100,10.69
115,Riyadh,SA,2021-03-15 02:58:57,24.6877,46.7219,64.4,19,4,9.22
116,Mahibadhoo,MV,2021-03-15 03:03:32,3.7833,72.9667,83.46,70,2,8.19
117,Agogo,GH,2021-03-15 03:03:33,6.8,-1.0819,71.38,83,100,2.26
118,Lata,PT,2021-03-15 03:03:33,40.1629,-8.3327,46.99,89,0,3.71
119,Saint George,US,2021-03-15 03:02:06,37.1041,-113.5841,55.99,40,1,3.44
120,Hilo,US,2021-03-15 03:03:33,19.7297,-155.09,71.6,83,90,4.61
121,Jamestown,US,2021-03-15 03:03:34,42.097,-79.2353,24.01,63,1,11.32
122,Maningrida,AU,2021-03-15 03:03:34,-12.0667,134.2667,87.84,64,68,3.83
123,Salalah,OM,2021-03-15 03:03:36,17.0151,54.0924,69.8,49,0,4.61
124,Castro,BR,2021-03-15 03:01:00,-24.7911,-50.0119,62.8,88,21,2.57
125,Chokurdakh,RU,2021-03-15 03:03:37,70.6333,147.9167,-14.06,91,0,5.64
126,Robertsport,LR,2021-03-15 03:00:03,6.7533,-11.3686,79.34,87,100,8.37
127,Svetlaya,RU,2021-03-15 03:03:38,46.5389,138.3297,43.12,62,0,6.62
128,Aldan,RU,2021-03-15 03:03:39,58.6031,125.3894,2.86,87,100,14.0
129,Segou,ML,2021-03-15 03:03:39,13.4317,-6.2157,73.47,21,0,8.99
130,Atuona,PF,2021-03-15 03:03:39,-9.8,-139.0333,80.33,68,4,10.11
131,Amalapuram,IN,2021-03-15 02:58:50,16.5833,82.0167,80.6,78,12,2.3
132,Mar Del Plata,AR,2021-03-15 03:03:40,-38.0023,-57.5575,70.0,94,0,3.44
133,Lorengau,PG,2021-03-15 03:01:17,-2.0226,147.2712,85.17,66,98,7.43
134,Tashla,RU,2021-03-15 03:03:41,51.7716,52.7427,-1.48,91,0,6.35
135,San Patricio,US,2021-03-15 03:03:41,28.017,-97.5169,62.6,82,75,3.44
136,Rio Gallegos,AR,2021-03-15 03:03:42,-51.6226,-69.2181,50.0,87,0,4.61
137,Haines Junction,CA,2021-03-15 02:59:16,60.7522,-137.5108,12.2,31,1,1.14
138,Sinnamary,GF,2021-03-15 03:01:13,5.3833,-52.95,76.78,86,100,9.78
139,Kandrian,PG,2021-03-15 03:03:45,-6.2167,149.55,87.42,61,52,5.61
140,Bandiagara,ML,2021-03-15 03:03:45,14.3501,-3.6104,72.95,23,0,7.67
141,Tuktoyaktuk,CA,2021-03-15 03:03:46,69.4541,-133.0374,-16.6,76,40,10.36
142,Zhigansk,RU,2021-03-15 03:03:48,66.7697,123.3711,-15.68,76,1,6.67
143,Saskylakh,RU,2021-03-15 03:03:49,71.9167,114.0833,-20.94,92,96,4.03
144,Hithadhoo,MV,2021-03-15 03:03:49,-0.6,73.0833,84.24,63,96,6.11
145,Kavieng,PG,2021-03-15 03:03:50,-2.5744,150.7967,85.32,62,91,7.18
146,Concordia,AR,2021-03-15 03:00:04,-31.393,-58.0209,72.0,49,0,10.63
147,Repnoye,RU,2021-03-15 03:03:50,51.5921,43.1861,23.99,90,100,13.98
148,Rio Grande,BR,2021-03-15 03:01:49,-32.035,-52.0986,68.54,77,10,8.68
149,Hobart,AU,2021-03-15 03:02:28,-42.8794,147.3294,71.01,37,75,19.57
150,Surab,PK,2021-03-15 03:03:51,28.4914,66.2585,56.34,41,4,2.55
151,Ribnica,SI,2021-03-15 03:03:53,45.7386,14.7275,33.01,94,44,1.99
152,Pallasovka,RU,2021-03-15 03:03:54,50.05,46.8833,18.32,79,81,9.69
153,El Tarra,CO,2021-03-15 03:03:55,8.5756,-73.0949,73.29,94,93,0.76
154,Chapais,CA,2021-03-15 03:03:56,49.7834,-74.8492,-7.6,71,90,10.36
155,Isangel,VU,2021-03-15 03:03:56,-19.55,169.2667,78.8,94,90,6.02
156,Sayyan,YE,2021-03-15 03:03:57,15.1718,44.3244,50.52,28,63,3.78
157,Wellington,NZ,2021-03-15 03:03:57,-41.2866,174.7756,68.0,68,20,24.16
158,Oktyabrskoye,RU,2021-03-15 03:03:58,43.0645,44.7417,23.0,100,0,4.47
159,Saint-Philippe,RE,2021-03-15 03:03:58,-21.3585,55.7679,78.8,73,75,4.61
160,Vila Franca Do Campo,PT,2021-03-15 03:03:59,37.7167,-25.4333,60.8,94,75,5.75
161,Kedrovyy,RU,2021-03-15 03:04:00,56.1667,91.8167,3.2,66,0,3.02
162,Fortuna,US,2021-03-15 03:04:00,40.5982,-124.1573,41.0,95,100,3.71
163,Kaeo,NZ,2021-03-15 03:04:01,-35.1,173.7833,75.99,67,37,8.99
164,Cortez,US,2021-03-15 03:04:02,37.3489,-108.5859,35.6,64,20,10.36
165,Bambous Virieux,MU,2021-03-15 03:04:02,-20.3428,57.7575,77.0,94,75,12.44
